2020년 5월 26일 8시 50분, 방랑의 가렌, 조회
2020년 5월 26일 8시 57분, 방랑의 가렌, 분석
2020년 5월 26일 8시 57분, 최소실버가목표, 분석
2020년 5월 26일 8시 57분, Da1sy, 분석
2020년 5월 26일 8시 58분, 방랑의 가렌, 분석1
2020년 5월 26일 9시 0분, 방랑의 가렌, 분석2
2020년 5월 26일 9시 0분, 방랑의 가렌, 분석3
2020년 5월 26일 9시 0분, 방랑의 가렌, 조회
2020년 5월 26일 9시 0분, 최소실버가목표, 조회
2020년 5월 26일 9시 1분, 방랑의 가렌, 분석
2020년 5월 26일 9시 9분, 방랑의 가렌, 분석
2020년 5월 26일 9시 9분, 방랑의 가렌, 분석1
2020년 5월 26일 9시 10분, 방랑의 가렌, 분석3
2020년 5월 26일 9시 10분, 방랑의 가렌, 분석2
2020년 5월 26일 9시 11분, Da1sy, 분석
2020년 5월 26일 9시 11분, Da1sy, 분석1
2020년 5월 26일 9시 11분, Da1sy, 분석2
2020년 5월 26일 9시 48분, 이불킥 아티스트, 조회
2020년 5월 26일 9시 48분, 이불킥 아티스트, 분석
2020년 5월 26일 9시 50분, 이불킥 아티스트, 분석3
2020년 5월 26일 9시 50분, 이불킥 아티스트, 분석
2020년 5월 26일 9시 50분, 방랑의 가렌, 분석
2020년 5월 26일 9시 55분, 이불킥 아티스트, 조회
2020년 5월 26일 9시 55분, 강철의 가렌, 조회
2020년 5월 26일 9시 55분, 방랑의 가렌, 조회
2020년 5월 26일 9시 58분, kimii, 조회
2020년 5월 26일 13시 36분, 방랑의 가렌, 분석
2020년 5월 26일 13시 36분, 어아아엉아아아, invalid command
2020년 5월 26일 13시 36분, 아우우우아앙응, 분석
2020년 5월 26일 13시 46분, 방랑의 가렌, 예측
2020년 5월 26일 13시 48분, Da1sy, 예측
2020년 5월 26일 13시 48분, 방랑의 가렌, 예측
2020년 5월 26일 13시 49분, znhy, 예측
2020년 5월 26일 13시 50분, 아으앙아아아아, 예측
2020년 5월 26일 13시 50분, 으안나나아아아, invalid command
2020년 5월 26일 13시 53분, znhy, 예측
